,Symbol,Company Name
492,GSFC,Gujarat State Fertilizers & Chemicals Limited
493,J&KBANK,The Jammu & Kashmir Bank Limited
494,RELIGARE,Religare Enterprises Limited
495,MASTEK,Mastek Limited
496,SIS,SIS LIMITED
497,JINDALSAW,Jindal Saw Limited
498,TEGA,Tega Industries Limited
499,SYRMA,Syrma SGS Technology Limited
500,AVANTIFEED,Avanti Feeds Limited
501,STARCEMENT,Star Cement Limited
502,IBULHSGFIN,Indiabulls Housing Finance Limited
503,RKFORGE,Ramkrishna Forgings Limited
504,CAPLIPOINT,Caplin Point Laboratories Limited
505,VAIBHAVGBL,Vaibhav Global Limited
506,RBA,Restaurant Brands Asia Limited
507,JUBLPHARMA,Jubilant Pharmova Limited
508,SHARDACROP,Sharda Cropchem Limited
509,NIITLTD,NIIT Limited
510,PCBL,PCBL LIMITED
511,MASFIN,MAS Financial Services Limited
512,SCI,Shipping Corporation Of India Limited
513,PDSL,PDS Limited
514,GUJALKALI,Gujarat Alkalies and Chemicals Limited
515,ELECON,Elecon Engineering Company Limited
516,CMSINFO,CMS Info Systems Limited
517,VMART,V-Mart Retail Limited
518,ICRA,ICRA Limited
519,JSWHL,JSW Holdings Limited
520,FDC,FDC Limited
521,CSBBANK,CSB Bank Limited
522,KTKBANK,The Karnataka Bank Limited
523,MMTC,MMTC Limited
524,ENGINERSIN,Engineers India Limited
525,SUNTECK,Sunteck Realty Limited
526,PRIVISCL,Privi Speciality Chemicals Limited
527,PARADEEP,Paradeep Phosphates Limited
528,SOBHA,Sobha Limited
529,FUSION,Fusion Micro Finance Limited
530,GMDCLTD,Gujarat Mineral Development Corporation Limited
531,VIJAYA,Vijaya Diagnostic Centre Limited
532,JAMNAAUTO,Jamna Auto Industries Limited
533,ANANTRAJ,Anant Raj Limited
534,SANSERA,Sansera Engineering Limited
535,MFL,Meghmani Finechem Limited
536,AHLUCONT,Ahluwalia Contracts (India) Limited
537,BSHSL,Bombay Super Hybrid Seeds Limited
538,TATACOFFEE,Tata Coffee Limited
539,TEAMLEASE,Teamlease Services Limited
540,JKTYRE,JK Tyre & Industries Limited
541,VARROC,Varroc Engineering Limited
542,GREENLAM,Greenlam Industries Limited
543,JPPOWER,Jaiprakash Power Ventures Limited
544,INFIBEAM,Infibeam Avenues Limited
545,SPANDANA,Spandana Sphoorty Financial Limited
546,HSCL,Himadri Speciality Chemical Limited
547,BHARATRAS,Bharat Rasayan Limited
548,RAJRATAN,Rajratan Global Wire Limited
549,LAOPALA,La Opala RG Limited
550,SARDAEN,Sarda Energy & Minerals Limited
551,RALLIS,Rallis India Limited
552,BOROLTD,Borosil Limited
553,RATEGAIN,Rategain Travel Technologies Limited
554,SCHNEIDER,Schneider Electric Infrastructure Limited
555,RPOWER,Reliance Power Limited
556,ARVINDFASN,Arvind Fashions Limited
557,TATVA,Tatva Chintan Pharma Chem Limited
558,POWERMECH,Power Mech Projects Limited
559,HCG,Healthcare Global Enterprises Limited
560,NESCO,Nesco Limited
561,HEIDELBERG,HeidelbergCement India Limited
562,TECHNOE,Techno Electric & Engineering Company Limited
563,POLYPLEX,Polyplex Corporation Limited
564,SURYAROSNI,Surya Roshni Limited
565,AUTOAXLES,Automotive Axles Limited
566,JWL,Jupiter Wagons Limited
567,NFL,National Fertilizers Limited
568,HEG,HEG Limited
569,RAJRILTD,Raj Rayon Industries Limited
570,CHENNPETRO,Chennai Petroleum Corporation Limited
571,WSTCSTPAPR,West Coast Paper Mills Limited
572,LUXIND,Lux Industries Limited
573,HIKAL,Hikal Limited
574,MIDHANI,Mishra Dhatu Nigam Limited
575,HLEGLAS,HLE Glascoat Limited
576,SHAREINDIA,Share India Securities Limited
577,NOCIL,NOCIL Limited
578,NAZARA,Nazara Technologies Limited
579,BANARISUG,Bannari Amman Sugars Limited
580,ANANDRATHI,Anand Rathi Wealth Limited
581,PRUDENT,Prudent Corporate Advisory Services Limited
582,GRAVITA,Gravita India Limited
583,GREENPANEL,Greenpanel Industries Limited
584,VESUVIUS,Vesuvius India Limited
585,DCBBANK,DCB Bank Limited
586,ROSSARI,Rossari Biotech Limited
587,RESPONIND,Responsive Industries Limited
588,TINPLATE,The Tinplate Company of India Limited
589,KIRLOSBROS,Kirloskar Brothers Limited
590,RAILTEL,Railtel Corporation Of India Limited
591,AMIORG,Ami Organics Limited
592,ISGEC,Isgec Heavy Engineering Limited
593,NEOGEN,Neogen Chemicals Limited
594,MARKSANS,Marksans Pharma Limited
595,NAVA,NAVA LIMITED
596,NEWGEN,Newgen Software Technologies Limited
597,BECTORFOOD,Mrs. Bectors Food Specialities Limited
598,TWL,Titagarh Wagons Limited
599,AARTIDRUGS,Aarti Drugs Limited
600,UJJIVAN,Ujjivan Financial Services Limited
601,GATEWAY,Gateway Distriparks Limited
602,SULA,Sula Vineyards Limited
603,DAAWAT,LT Foods Limited
604,SOUTHBANK,The South Indian Bank Limited
605,GET&D,GE T&D India Limited
606,HARSHA,Harsha Engineers International Limited
607,PGEL,PG Electroplast Limited
608,RSYSTEMS,R Systems International Limited
609,INDOCO,Indoco Remedies Limited
610,MOLDTKPAC,Mold-Tek Packaging Limited
611,IFBIND,IFB Industries Limited
612,SBCL,Shivalik Bimetal Controls Limited
613,BCG,Brightcom Group Limited
614,GREAVESCOT,Greaves Cotton Limited
615,MOIL,MOIL Limited
616,TATASTLLP,Tata Steel Long Products Limited
617,TARSONS,Tarsons Products Limited
618,SHANTIGEAR,Shanthi Gears Limited
619,CHOICEIN,Choice International Limited
620,TIIL,Technocraft Industries (India) Limited
621,DHANUKA,Dhanuka Agritech Limited
622,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited
623,DODLA,Dodla Dairy Limited
624,DALMIASUG,Dalmia Bharat Sugar and Industries Limited
625,VOLTAMP,Voltamp Transformers Limited
626,ASTEC,Astec LifeSciences Limited
627,SUDARSCHEM,Sudarshan Chemical Industries Limited
628,KSCL,Kaveri Seed Company Limited
629,SUNFLAG,Sunflag Iron And Steel Company Limited
630,IBREALEST,Indiabulls Real Estate Limited
631,THOMASCOOK,Thomas Cook  (India)  Limited
632,HBLPOWER,HBL Power Systems Limited
633,INOXWIND,Inox Wind Limited
634,NILKAMAL,Nilkamal Limited
635,ZENTEC,Zen Technologies Limited
636,TCNSBRANDS,TCNS Clothing Co. Limited
637,ADVENZYMES,Advanced Enzyme Technologies Limited
638,STAR,Strides Pharma Science Limited
639,FCL,Fineotex Chemical Limited
640,KKCL,Kewal Kiran Clothing Limited
641,HINDWAREAP,Hindware Home Innovation Limited
642,MAHLOG,Mahindra Logistics Limited
643,EMIL,Electronics Mart India Limited
644,JTEKTINDIA,Jtekt India Limited
